date,PM2.5
2018/9/16,15
2018/9/17,23
2018/9/18,27
2018/9/19,23
2018/9/20,23
2018/9/21,17
2018/9/22,33
2018/9/23,44
2018/9/24,23
2018/9/25,12
2018/9/26,13
2018/9/27,15
2018/9/28,18
2018/9/29,26
2018/9/30,23
2018/10/1,17
2018/10/2,19
2018/10/3,19
2018/10/4,27
2018/10/5,42
2018/10/6,56
2018/10/7,27
2018/10/8,24
2018/10/9,19
2018/10/10,18
2018/10/11,53
2018/10/12,66
2018/10/13,40
2018/10/14,34
2018/10/15,34
2018/10/16,50
2018/10/17,57
2018/10/18,33
2018/10/19,20
2018/10/20,18
2018/10/21,21
2018/10/22,45
2018/10/23,33
2018/10/24,40
2018/10/25,35
2018/10/26,49
2018/10/27,62
2018/10/28,59
2018/10/29,89
2018/10/30,65
2018/10/31,41
2018/11/1,64
2018/11/2,84
2018/11/3,72
2018/11/4,42
2018/11/5,21
2018/11/6,35
2018/11/7,26
2018/11/8,29
2018/11/9,47
2018/11/10,61
2018/11/11,56
2018/11/12,52
2018/11/13,48
2018/11/14,58
2018/11/15,32
2018/11/16,11
2018/11/17,16
2018/11/18,24
2018/11/19,35
2018/11/20,55
2018/11/21,54
2018/11/22,43
2018/11/23,67
2018/11/24,72
2018/11/25,95
2018/11/26,67
2018/11/27,59
2018/11/28,56
2018/11/29,73
2018/11/30,89
2018/12/1,57
2018/12/2,47
2018/12/3,40
2018/12/4,67
2018/12/5,52
2018/12/6,36
2018/12/7,27
2018/12/8,22
2018/12/9,17
2018/12/10,43
2018/12/11,42
2018/12/12,52
2018/12/13,81
2018/12/14,79
2018/12/15,70
2018/12/16,64
